# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Wed Apr 28 12:39:52 BST 2021 [seed=1619609990114]
# -working /home/mahan/Downloads/alignment_lab/For_publication/alignments/decLC_alignments_logistic.xml
state	joint	prior	likelihood	treeModel.rootHeight	treeLength	logistic.popSize	logistic.growthRate	logistic.t50	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	external.rate	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
14700000	-71680.23616424958	-2222.3569307369658	-69457.87923351262	1.3168493306707774	126.06676799649583	22.371312369527512	10.564021242094494	0.7217801929791059	4.621877996083775	0.2886744273119886	0.1728436774741949	0.1843678811930208	0.35411401402079834	0.05815900953698956	3.6273257944324024E-4	8.923727802695835E-4	7.124137145118703E-4	0.4218875643369243	-8.556099597784207E-14	-69457.87923351262	0.0	-2215.6998022467246
14800000	-71668.33648785912	-2205.1581648283127	-69463.1783230308	1.3018656531531942	126.05779838124776	21.37799682640353	10.758541813251794	0.7162542086582113	4.750659815033284	0.28782711470296274	0.17696023488061824	0.18210588518921972	0.35310676522720186	0.09955671419022527	4.226066847824816E-4	8.750269262627207E-4	7.342091818097461E-4	0.34860219800215814	6.149536218096976E-14	-69463.1783230308	0.0	-2198.384016337131
14900000	-71559.35449311144	-2129.5709774128904	-69429.78351569855	1.2382114865018854	120.61826404284838	20.08828843085855	12.288205877721765	0.7246035043738741	4.6536878405517985	0.2815982701502972	0.17543098572034507	0.18981055920116724	0.35316018492819345	0.0888391503265931	4.114763530004575E-4	9.333839672553565E-4	7.693774855757317E-4	0.38800101709180795	-4.389087177681223E-14	-69429.78351569855	0.0	-2122.8513778876454
15000000	-71561.27120515307	-2133.5989579628363	-69427.67224719023	1.1974373464225767	121.61256413047492	22.899794941345338	11.79009636284795	0.6954379017606301	4.7429461459541296	0.2856888424141873	0.1786794588167094	0.18660730540680526	0.3490243933623012	0.020398742836125222	4.000266311818587E-4	9.44816964860187E-4	7.726506995683563E-4	0.4050081517316006	3.3849480426207797E-14	-69427.67224719023	0.0	-2126.852901453014
15100000	-71577.6318407207	-2134.468466779514	-69443.16337394119	1.20338389777223	120.99657954649436	19.695694614508234	14.35053873894914	0.7554812722310228	4.8052973606409966	0.28077129200580797	0.17863519813756817	0.1817931228124699	0.35880038704415707	0.10759200633272066	4.116697270140534E-4	9.285327518465123E-4	7.665775966963472E-4	0.38558747224813694	6.092433653368256E-14	-69443.16337394119	0.0	-2127.6407136054822
15200000	-71595.21558402198	-2136.3999197633043	-69458.81566425867	1.2360096223287385	121.67161226636664	22.079573732123233	11.931126957367546	0.702364608275143	4.649648839832931	0.2856448032640367	0.17647677167814213	0.18756895048146222	0.35030947457636286	0.02586665945296656	3.920341665992487E-4	9.129328401829596E-4	7.499006406261477E-4	0.3990831992455608	7.22610982762301E-14	-69458.81566425867	0.0	-2129.746682791571
15300000	-71605.03228333792	-2120.5214988023386	-69484.51078453558	1.2241445176171801	120.55407998731096	21.677935613041033	11.937995225479444	0.6981299928281615	4.681316897042591	0.28041196802240953	0.1774251746564717	0.18563715188552277	0.3565257054355997	0.09167728931692332	4.221903500325494E-4	9.22739552609926E-4	7.707160454005203E-4	0.3721115252198958	2.0764281726080638E-14	-69484.51078453558	0.0	-2113.706429616586
15400000	-71595.68687754986	-2150.8089653466836	-69444.87791220317	1.142465989720733	120.75138846353944	21.58052705999442	10.637363207160515	0.6953692194633134	4.548410814949922	0.28846801135459343	0.17572953466469135	0.1813321726769743	0.35447028130374464	0.07347982058150641	4.188939552124747E-4	9.175428604860243E-4	7.642460128509989E-4	0.3730541430599951	-5.582461448490659E-14	-69444.87791220317	0.0	-2144.1017918391753
15500000	-71617.15556249279	-2153.9357867809676	-69463.21977571181	1.1366539607523982	122.5801996542882	19.16343545557806	12.863945823542599	0.7390109857188543	4.307922041406603	0.28164876963673147	0.17833827458116147	0.18653568082641894	0.35347727495569176	0.11479604856161553	4.367731877216593E-4	9.062971452076082E-4	7.635144842101994E-4	0.3495413943137078	8.471776111854813E-14	-69463.21977571181	0.0	-2147.3097287814926
15600000	-71650.13765395038	-2150.27626278391	-69499.86139116647	1.2166682170806458	120.47161557585736	21.46560772106576	10.645553293656864	0.712789959562615	4.4307552498779454	0.2857533244774853	0.1745850731780543	0.1859369539302922	0.35372464841417195	0.0790286940866049	3.523281667118052E-4	9.43704271634584E-4	7.464053494022864E-4	0.4561662872008356	5.292164961397501E-14	-69499.86139116647	0.0	-2143.651289336231
15700000	-71593.0907842086	-2151.6252559342875	-69441.46552827432	1.2417595195662048	121.38675979336507	20.120135202062055	11.775727493595586	0.7219571393280299	4.725146534602468	0.2833696475260491	0.18059505560169298	0.18584055304369992	0.3501947438285611	0.011932687532787296	4.051883252521812E-4	9.122182117342463E-4	7.537139309658814E-4	0.3847973646606568	3.6384064585902575E-14	-69441.46552827432	0.0	-2145.0731375376968
15800000	-71607.12218317988	-2141.004522496452	-69466.11766068342	1.2532685963004024	120.79040158027533	21.56563761302441	12.685704650656305	0.7303397869313282	4.499334314849391	0.2835877480380073	0.1804622266696713	0.18688324125101505	0.3490667840413091	0.057513709983844793	4.307028605031181E-4	9.632652283745008E-4	7.943843802978097E-4	0.38197741750185765	1.000566565612187E-13	-69466.11766068342	0.0	-2134.2302840595016
15900000	-71606.3801604058	-2140.8280132409213	-69465.55214716487	1.209570248418124	119.76797337097429	23.213601908759546	11.102710539852916	0.7024887470153464	4.369605121864798	0.2898677822334883	0.17669445132071712	0.18383032837604849	0.34960743806974853	0.004348216335700041	3.93204545305396E-4	9.220530782385953E-4	7.507660099522617E-4	0.402002209668915	1.0156406410952145E-13	-69465.55214716487	0.0	-2134.210540301237
16000000	-71553.64675011823	-2098.7322749511604	-69454.91447516707	1.2552397493648744	117.70138284046122	18.592418527486196	12.567334193560246	0.7237672706051774	4.458345882404093	0.28488752801680867	0.17816246233105545	0.18696678385004525	0.3499832258020934	0.08538154838903474	4.2379609508621586E-4	9.248939060772917E-4	7.636202721756079E-4	0.37148111918758214	-6.911629772546397E-14	-69454.91447516707	0.0	-2092.1591425604456
16100000	-71629.10123008964	-2145.750506055474	-69483.35072403417	1.2581576442535354	121.08447761102457	20.714019514734698	11.2956814115253	0.7135206734838976	4.502940154317189	0.28582134208207227	0.17524778137519414	0.18880881522902312	0.35012206131371326	0.009396667979419675	4.009407257788454E-4	9.908936111610272E-4	7.984858170409017E-4	0.4237645445646135	5.939324132100928E-14	-69483.35072403417	0.0	-2139.193526504096
16200000	-71604.56640376085	-2138.8335076424423	-69465.73289611841	1.1968264711626615	119.6563311073315	19.626432399341176	11.991999258437614	0.7355692653515409	4.805764518758791	0.2865508521644157	0.17490410457860917	0.19061244537399236	0.34793259788298564	0.05005465780324915	3.932909593772225E-4	9.268721660222202E-4	7.515059650366419E-4	0.4040914211803918	5.5558377906096144E-14	-69465.73289611841	0.0	-2132.193037132332
16300000	-71555.9731929727	-2101.289770548393	-69454.6834224243	1.2678315907297322	116.34503860527091	18.871208111525043	10.745644033245098	0.7102269575897722	5.041800157067092	0.28852250371065197	0.17392471080588817	0.1864968432265921	0.3510559422568708	0.03815332742873831	4.159201197430502E-4	9.75370068975222E-4	7.960835058740599E-4	0.4020235252426094	-8.989242660174253E-14	-69454.6834224243	0.0	-2094.6274492847488
16400000	-71579.6605789062	-2105.693418610127	-69473.96716029607	1.1872804311148604	117.47751962321533	18.01532466659498	11.729783675689138	0.7083225286953537	4.341222752000155	0.28460964538584754	0.1782773496083406	0.18639684402233633	0.3507161609834787	0.06784404688697475	4.0992542480771673E-4	9.900095635363487E-4	8.019593824658854E-4	0.4142701917388439	8.939532072197268E-14	-69473.96716029607	0.0	-2099.241688247005
16500000	-71548.09836673272	-2094.0167476136994	-69454.08161911902	1.150915928354851	117.42918416522612	18.56431338637479	12.085133565828597	0.7227704494416963	4.582898310812263	0.2841379208917192	0.17786869427206134	0.18322904582304908	0.3547643390131735	0.11570175353044891	4.4065516318799673E-4	0.001002576506974224	8.20823226555107E-4	0.38927375225298055	2.436244027467877E-14	-69454.08161911902	0.0	-2087.282012511608
16600000	-71605.51464246251	-2155.0380100861635	-69450.47663237635	1.2048640693287445	121.82688700230355	20.52379247721346	13.242192873993751	0.7452497294670377	4.445603751636717	0.2818209493592134	0.17946352514191088	0.18578772980033023	0.3529277956985486	0.0070614818956304315	4.2928861990130835E-4	9.471715340642124E-4	7.81033107984248E-4	0.3761763465175715	3.1013361384197834E-14	-69450.47663237635	0.0	-2148.4488986262736
16700000	-71577.77058372635	-2109.620517248616	-69468.15006647773	1.2008960724966349	118.58186187803581	21.01171068398254	12.374957583326387	0.7133938305925848	4.86947519420982	0.28598941460786464	0.1793479574327299	0.1875273635004736	0.3471352644589354	0.011277316911568911	4.1248689244420344E-4	9.689607092607562E-4	7.886974187484052E-4	0.40273357826999784	5.2880578878067677E-14	-69468.15006647773	0.0	-2102.9029543451306
16800000	-71587.46292990145	-2120.481874636	-69466.98105526545	1.2432675322458524	118.67351060848222	21.062241667900736	11.170996858967413	0.6996660306308841	4.71872044418792	0.28519591833437563	0.17631178521134955	0.18429632693895723	0.35419596951532123	0.12830113040660027	4.2049700895188734E-4	9.653722573795541E-4	7.924616977565457E-4	0.39308652755269385	-6.158284395696278E-14	-69466.98105526545	0.0	-2113.5933234102768
